ID,Inclusion_Exlusion,Reason,Trial_phase,Trial_number,Trial_name,Tumor,Primary_outcome,PFS_primary_outcome,PFS_Registry,PFS_Protocol,PFS_Prespecified,PFS_Paper,PFS_Inconsistency,PFS_Reason,PFS_Free_comments,PFS_Blndeness,ORR_primary_outcome,ORR_Registry,ORR_Protocol,ORR_Prespecified,ORR_Paper,ORR_Inconsistency,ORR_Reason,ORR_Free_comments,ORR_Blndeness,Response_PFS,Response_ORR,title,journal,IF,year,authors,url,pubmed_id
38,Inclusion,,Phase 2,"JapicCTI-111390, JapicCTI-142569",JO25567,Non-small cell lung cancer,PFS,Yes,Unclear,No protocol,Unclear,Only central,Unclear in advance but clear in paper,,,"Probably, only blinded",No ORR,Unclear,No protocol,Unclear,No ORR,Suspicious of selective reporting,Contradiction,Reported in primary report,No ORR,Only non-blinded,,Erlotinib plus bevacizumab vs erlotinib monotherapy as first-line treatment for advanced EGFR mutation-positive non-squamous non-small-cell lung cancer: Survival follow-up results of the randomized JO25567 study.,"Lung cancer (Amsterdam, Netherlands)",5.71,2021,Yamamoto N and Seto T and Nishio M and Goto K and Yamamoto N and Okamoto I and Yamanaka T and Tanaka M and Takahashi K and Fukuoka M,https://pubmed.ncbi.nlm.nih.gov/33279874/,33279874
40,Inclusion,,Phase 2,NCT01485848,No name,Ovarian cancer,ORR,No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,"A multicenter open-label randomized phase II trial of paclitaxel plus EP-100, a novel LHRH receptor-targeted, membrane-disrupting peptide, versus paclitaxel alone for refractory or recurrent ovarian cancer.",Gynecologic oncology,5.48,2021,Chelariu-Raicu A and Nick A and Urban R and Gordinier M and Leuschner C and Bavisotto L and Molin GZD and Whisnant JK and Coleman RL,https://pubmed.ncbi.nlm.nih.gov/33243443/,33243443
41,Inclusion,,Phase 3,NCT03052608,CROWN,Non-small cell lung cancer,PFS,Yes,Investigator + central,Investigator + central,Investigator + central,Investigator + central,Consistent,,,Non-blinded + blinded,No,Investigator + central,Investigator + central,Investigator + central,Investigator + central,Consistent,,,Non-blinded + blinded,,,First-Line Lorlatinib or Crizotinib in Advanced ALK-Positive Lung Cancer.,The New England journal of medicine,91.25,2020,Shaw AT and Bauer TM and de Marinis F and Felip E and Goto Y and Liu G and Mazieres J and Kim DW and Mok T and Polli A and Thurm H and Calella AM and Peltz G and Solomon BJ,https://pubmed.ncbi.nlm.nih.gov/33207094/,33207094
42,Exclusion,Patient,,,,,,,,,,,,,,,,,,,,,,,,,,"A randomized phase II trial evaluating the addition of low dose, short course sunitinib to docetaxel in advanced solid tumours.",BMC cancer,3.15,2020,Ang YLE and Ho GF and Soo RA and Sundar R and Tan SH and Yong WP and Ow SGW and Lim JSJ and Chong WQ and Soe PP and Tai BC and Wang L and Goh BC and Lee SC,https://pubmed.ncbi.nlm.nih.gov/33203399/,33203399
43,Inclusion,,Phase 2,NCT03636308,No name,Pancreatic cancer,ORR,No,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,Yes,Unclear,No protocol,Unclear,Only central,Unclear in advance but clear in paper,,,"Probably, only blinded",,,Nab-paclitaxel plus S-1 versus nab-paclitaxel plus gemcitabine as first-line chemotherapy in patients with advanced pancreatic ductal adenocarcinoma: a randomized study.,Journal of cancer research and clinical oncology,4.55,2021,Zong Y and Yuan J and Peng Z and Lu M and Wang X and Shen L and Zhou J,https://pubmed.ncbi.nlm.nih.gov/33191450/,33191450
44,Inclusion,,Phase 3,NCT02253459,BG01-1323L,Breast cancer,PFS,Yes,Unclear,No protocol,Unclear,Investigator + central,Unclear in advance but clear in paper,,Primary: local + central,"Probably, non-blinded + blinded",No,Unclear,No protocol,Unclear,Investigator + central,Unclear in advance but clear in paper,,Primary: local + central,"Probably, only blinded",Only non-blinded,Only non-blinded,"Efficacy of utidelone plus capecitabine versus capecitabine for heavily pretreated, anthracycline- and taxane-refractory metastatic breast cancer: final analysis of overall survival in a phase III randomised controlled trial.",Annals of oncology : official journal of the European Society for Medical Oncology,32.98,2021,Xu B and Sun T and Zhang Q and Zhang P and Yuan Z and Jiang Z and Wang X and Cui S and Teng Y and Hu XC and Yang J and Pan H and Tong Z and Li H and Yao Q and Wang Y and Yin Y and Sun P and Zheng H and Cheng J and Lu J and Zhang B and Geng C and Liu J and Shen K and Yu S and Li H and Tang L and Qiu R,https://pubmed.ncbi.nlm.nih.gov/33188874/,33188874
45,Inclusion,,Phase 2,"UMIN000010443	",The North Japan Lung Cancer Group Trial 1302,Non-small cell lung cancer,ORR,No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",Yes,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,Randomized phase II trial of carboplatin遯ｶ+遯ｶ遨斬b-paclitaxel versus cisplatin遯ｶ+遯ｶ譖ｳemcitabine for chemotherapy-naｾｽｯve squamous cell carcinoma: North Japan lung cancer study group 1302.,International journal of clinical oncology,3.4,2021,Kawashima Y and Harada T and Fujita Y and Nakagawa T and Watanabe K and Morikawa N and Takamura K and Kanazawa K and Kuda T and Usui K and Sekine A and Inoue A and Sugawara S,https://pubmed.ncbi.nlm.nih.gov/33184754/,33184754
46,Exclusion,Study design,,,,,,,,,,,,,,,,,,,,,,,,,,"Camrelizumab Plus Apatinib in Extensive-Stage SCLC (PASSION): A Multicenter, Two-Stage, Phase 2 Trial.",Journal of thoracic oncology : official publication of the International Association           for the Study of Lung Cancer,15.61,2021,Fan Y and Zhao J and Wang Q and Huang D and Li X and Chen J and Fang Y and Duan J and Zhou C and Hu Y and Yang H and Hu Y and Zhou J and Lin X and Wang L and Wang Z and Xu Y and Zhang T and Shi W and Zou J and Wang J,https://pubmed.ncbi.nlm.nih.gov/33166719/,33166719
47,Inclusion,,Phase 3,NCT02667743,No name,Non-small cell lung cancer,ORR,No,Unclear,Unclear,Unclear,Investigator + central,Unclear in advance but clear in paper,,,"Probably, non-blinded + blinded",Yes,Only investigator,Unclear,Unclear,Investigator + central,Unclear in advance but clear in paper,,,"Probably, non-blinded + blinded",,,"Comparing nanoparticle polymeric micellar paclitaxel and solvent-based paclitaxel as first-line treatment of advanced non-small-cell lung cancer: an open-label, randomized, multicenter, phase III trial.",Annals of oncology : official journal of the European Society for Medical Oncology,32.98,2021,Shi M and Gu A and Tu H and Huang C and Wang H and Yu Z and Wang X and Cao L and Shu Y and Wang H and Yang R and Li X and Chang J and Hu Y and Shen P and Hu Y and Guo Z and Tao M and Zhang Y and Liu X and Sun Q and Zhang X and Jiang Z and Zhao J and Chen F and Yu H and Zhang W and Sun J and Li D and Zhou J and Han B and Wu YL,https://pubmed.ncbi.nlm.nih.gov/33130217/,33130217
49,Exclusion,Study design,,,,,,,,,,,,,,,,,,,,,,,,,,Long-Term Overall Survival From KEYNOTE-021 Cohort G: Pemetrexed and Carboplatin With or Without Pembrolizumab as First-Line Therapy for Advanced Nonsquamous NSCLC.,Journal of thoracic oncology : official publication of the International Association           for the Study of Lung Cancer,15.61,2021,Awad MM and Gadgeel SM and Borghaei H and Patnaik A and Yang JC and Powell SF and Gentzler RD and Martins RG and Stevenson JP and Altan M and Jalal SI and Panwalkar A and Gubens M and Sequist LV and Saraf S and Zhao B and Piperdi B and Langer CJ,https://pubmed.ncbi.nlm.nih.gov/33069888/,33069888
55,Inclusion,,Phase 3,NCT02409342,IMpower110,Non-small cell lung cancer,OS,No,Only investigator,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,No,Only investigator,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,Atezolizumab for First-Line Treatment of PD-L1-Selected Patients with NSCLC.,The New England journal of medicine,91.25,2020,Herbst RS and Giaccone G and de Marinis F and Reinmuth N and Vergnenegre A and Barrios CH and Morise M and Felip E and Andric Z and Geater S and ｾ･波ｾｽｼroｾｮ埠 M and Zou W and Sandler A and Enquist I and Komatsubara K and Deng Y and Kuriki H and Wen X and McCleland M and Mocci S and Jassem J and Spigel DR,https://pubmed.ncbi.nlm.nih.gov/32997907/,32997907
56,Inclusion,,Phase 2b,NCT01630018,No name,Ovarian cancer,ORR,No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,"A multicentre, randomised, open-label, parallel-group Phase 2b study of belotecan versus topotecan for recurrent ovarian cancer.",British journal of cancer,7.64,2021,Kim HS and Park SY and Park CY and Kim YT and Kim BJ and Song YJ and Kim BG and Kim YB and Cho CH and Kim JH and Song YS,https://pubmed.ncbi.nlm.nih.gov/32994466/,32994466
57,Inclusion,,Phase 3,"NCT02516241, EudraCT number 2015-001633-24",DANUBE,Urothelial cancer,OS,No,Only investigator,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,No,Only investigator,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,"Durvalumab alone and durvalumab plus tremelimumab versus chemotherapy in previously untreated patients with unresectable, locally advanced or metastatic urothelial carcinoma (DANUBE): a randomised, open-label, multicentre, phase 3 trial.",The Lancet. Oncology,41.32,2020,Powles T and van der Heijden MS and Castellano D and Galsky MD and Loriot Y and Petrylak DP and Ogawa O and Park SH and Lee JL and De Giorgi U and Bｾｽｶgemann M and Bamias A and Eigl BJ and Gurney H and Mukherjee SD and Fradet Y and Skoneczna I and Tsiatas M and Novikov A and Suｾｽ｡rez C and Fay AP and Duran I and Necchi A and Wildsmith S and He P and Angra N and Gupta AK and Levin W and Bellmunt J,https://pubmed.ncbi.nlm.nih.gov/32971005/,32971005
59,Exclusion,Publication,,,,,,,,,,,,,,,,,,,,,,,,,,Survival with Olaparib in Metastatic Castration-Resistant Prostate Cancer.,The New England journal of medicine,91.25,2020,Hussain M and Mateo J and Fizazi K and Saad F and Shore N and Sandhu S and Chi KN and Sartor O and Agarwal N and Olmos D and Thiery-Vuillemin A and Twardowski P and Roubaud G and ｾ･波ｾｽｼroｾｮ埠 M and Kang J and Burgents J and Gresty C and Corcoran C and Adelman CA and de Bono J,https://pubmed.ncbi.nlm.nih.gov/32955174/,32955174
62,Inclusion,,Phase 3b/4,NCT02066636,CheckMate 153,Non-small cell lung cancer,Safty,No,No PFS,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,No,No ORR,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,Continuous Versus 1-Year Fixed-Duration Nivolumab in Previously Treated Advanced Non-Small-Cell Lung Cancer: CheckMate 153.,Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,44.54,2020,Waterhouse DM and Garon EB and Chandler J and McCleod M and Hussein M and Jotte R and Horn L and Daniel DB and Keogh G and Creelan B and Einhorn LH and Baker J and Kasbari S and Nikolinakos P and Babu S and Couture F and Leighl NB and Reynolds C and Blumenschein G Jr and Gunuganti V and Li A and Aanur N and Spigel DR,https://pubmed.ncbi.nlm.nih.gov/32910710/,32910710
67,Exclusion,Study design,,,,,,,,,,,,,,,,,,,,,,,,,,Cabazitaxel - A Treatment Option in Recurrent Platinum-resistant Ovarian Cancer.,Anticancer research,2.48,2020,Madsen CV and Adimi P and Jakobsen A and Steffensen KD,https://pubmed.ncbi.nlm.nih.gov/32878814/,32878814
69,Inclusion,,Unclear,NCT02256800,PURE FIST,Colorectal cancer,PFS,Yes,Unclear,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,No,Unclear,Only investigator,Only investigator,Unclear,Central or local in advance but unclear in paper,,,"Probably, only non-blinded",,,Determination of the UGT1A1 polymorphism as guidance for irinotecan dose escalation in metastatic colorectal cancer treated with first-line bevacizumab and FOLFIRI (PURE FIST).,"European journal of cancer (Oxford, England : 1990)",9.16,2020,Tsai HL and Huang CW and Lin YW and Wang JH and Wu CC and Sung YC and Chen TL and Wang HM and Tang HC and Chen JB and Ke TW and Tsai CS and Huang HY and Wang JY,https://pubmed.ncbi.nlm.nih.gov/32829105/,32829105
71,Inclusion,,Phase 3,NCT01160211,ALTERNATIVE,Breast cancer,PFS,Yes,Unclear,Investigator + central,Investigator + central,Only investigator,Suspicious of selective reporting,Contradiction,Radiologcal data was planned to be revewed by IRC in the protocol.,Only non-blinded,No,Only investigator,Investigator + central,Investigator + central,Unclear,Suspicious of selective reporting,Contradiction,Radiologcal data was planned to be revewed by IRC in the protocol.,"Probably, only non-blinded",,,"Phase III, Randomized Study of Dual Human Epidermal Growth Factor Receptor 2 (HER2) Blockade With Lapatinib Plus Trastuzumab in Combination With an Aromatase Inhibitor in Postmenopausal Women With HER2-Positive, Hormone Receptor-Positive Metastatic Breast Cancer: Updated Results of ALTERNATIVE.",Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,44.54,2021,Johnston SRD and Hegg R and Im SA and Park IH and Burdaeva O and Kurteva G and Press MF and Tjulandin S and Iwata H and Simon SD and Kenny S and Sarp S and Izquierdo MA and Williams LS and Gradishar WJ,https://pubmed.ncbi.nlm.nih.gov/32822287/,32822287
77,Inclusion,,Unclear,Not available,No name,Non-small cell lung cancer,Unclear,Unclear,No registry,No protocol,Not available,Unclear,Not prespecified,,,"Probably, only non-blinded",Unclear,No registry,No protocol,Not available,Unclear,Not prespecified,,,"Probably, only non-blinded",,,Study on the Effect of Nano Albumin Paclitaxel Combined with Carboplatin in the Treatment of Lung Squamous Cell Carcinoma.,Journal of nanoscience and nanotechnology,1.13,2020,Wang H and Mou S and Tu M,https://pubmed.ncbi.nlm.nih.gov/32711612/,32711612
78,Exclusion,Publication,,,,,,,,,,,,,,,,,,,,,,,,,,AtezoTRIBE: a randomised phase II study of FOLFOXIRI plus bevacizumab alone or in combination with atezolizumab as initial therapy for patients with unresectable metastatic colorectal cancer.,BMC cancer,3.15,2020,Antoniotti C and Borelli B and Rossini D and Pietrantonio F and Morano F and Salvatore L and Lonardi S and Marmorino F and Tamberi S and Corallo S and Tortora G and Bergamo F and Brunella DS and Boccaccino A and Grassi E and Racca P and Tamburini E and Aprile G and Moretto R and Boni L and Falcone A and Cremolini C,https://pubmed.ncbi.nlm.nih.gov/32698790/,32698790
80,Inclusion,,Phase 3,NCT02322593,SOLAR,Stomach cancer,OS,No,Unclear,Unclear,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,No,Unclear,Unclear,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,"S-1 plus leucovorin and oxaliplatin versus S-1 plus cisplatin as first-line therapy in patients with advanced gastric cancer (SOLAR): a randomised, open-label, phase 3 trial.",The Lancet. Oncology,41.32,2020,Kang YK and Chin K and Chung HC and Kadowaki S and Oh SC and Nakayama N and Lee KW and Hara H and Chung IJ and Tsuda M and Park SH and Hosaka H and Hironaka S and Miyata Y and Ryu MH and Baba H and Hyodo I and Bang YJ and Boku N,https://pubmed.ncbi.nlm.nih.gov/32682457/,32682457
82,Inclusion,,Phase 3,NCT01808573,NALA,Breast cancer,OS and PFS,Yes,Only central,No protocol,Only central,Investigator + central,Central or local in advance but both in paper,,,Non-blinded + blinded,No,Only central,No protocol,Only central,Unclear,Central or local in advance but unclear in paper,,,"Probably, only non-blinded",decline,,Neratinib Plus Capecitabine Versus Lapatinib Plus Capecitabine in HER2-Positive Metastatic Breast Cancer Previously Treated With 遶包ｽ･ 2 HER2-Directed Regimens: Phase III NALA Trial.,Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,44.54,2020,Saura C and Oliveira M and Feng YH and Dai MS and Chen SW and Hurvitz SA and Kim SB and Moy B and Delaloge S and Gradishar W and Masuda N and Palacova M and Trudeau ME and Mattson J and Yap YS and Hou MF and De Laurentiis M and Yeh YM and Chang HT and Yau T and Wildiers H and Haley B and Fagnani D and Lu YS and Crown J and Lin J and Takahashi M and Takano T and Yamaguchi M and Fujii T and Yao B and Bebchuk J and Keyvanjah K and Bryce R and Brufsky A,https://pubmed.ncbi.nlm.nih.gov/32678716/,32678716
85,Inclusion,,Phase 2,NCT02827201,FIRGEMAX,Pancreatic cancer,PFS,Yes,Unclear,Only investigator,Only investigator,Unclear,Central or local in advance but unclear in paper,,,"Probably, only non-blinded",No,Only investigator,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,Only non-blinded,Only non-blinded,"Gemcitabine plus nab-paclitaxel until progression or alternating with FOLFIRI.3, as first-line treatment for patients with metastatic pancreatic adenocarcinoma: The Federation Francophone de Cancｾｽｩrologie Digestive-PRODIGE 37 randomised phase II study (FIRGEMAX).","European journal of cancer (Oxford, England : 1990)",9.16,2020,Rinaldi Y and Pointet AL and Khemissa Akouz F and Le Malicot K and Wahiba B and Louafi S and Gratet A and Miglianico L and Laharie H and Bouhier Leporrier K and Thirot Bidault A and Texereau P and Coriat R and Terrebonne E and Gouttebel MC and Malka D and Bachet JB and Lepage C and Taieb J,https://pubmed.ncbi.nlm.nih.gov/32623182/,32623182
91,Exclusion,Intervention,,,,,,,,,,,,,,,,,,,,,,,,,,A Randomized Open-Label Phase III Trial Evaluating the Addition of Denosumab to Standard First-Line Treatment in Advanced NSCLC: The European Thoracic Oncology Platform (ETOP) and European Organisation for Research and Treatment of Cancer (EORTC) SPLENDOUR Trial.,Journal of thoracic oncology : official publication of the International Association           for the Study of Lung Cancer,15.61,2020,Peters S and Danson S and Hasan B and Dafni U and Reinmuth N and Majem M and Tournoy KG and Mark MT and Pless M and Cobo M and Rodriguez-Abreu D and Falchero L and Moran T and Ortega Granados AL and Monnet I and Mohorcic K and Sureda BM and Betticher D and Demedts I and Macias JA and Cuffe S and Luciani A and Sanchez JG and Curioni-Fontecedro A and Gautschi O and Price G and Coate L and von Moos R and Zielinski C and Provencio M and Menis J and Ruepp B and Pochesci A and Roschitzki-Voser H and Besse B and Rabaglio M and O'Brien MER and Stahel RA,https://pubmed.ncbi.nlm.nih.gov/32565388/,32565388
102,Inclusion,,Phase 3,NCT01481870,CROSS-J-RCC,Renal cell cancer,PFS,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,No ORR,No protocol,No ORR,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,Sunitinib Versus Sorafenib as Initial Targeted Therapy for mCC-RCC With Favorable/Intermediate Risk: Multicenter Randomized Trial CROSS-J-RCC.,Clinical genitourinary cancer,2.87,2020,Tomita Y and Naito S and Sassa N and Takahashi A and Kondo T and Koie T and Obara W and Kobayashi Y and Teishima J and Takahashi M and Matsuyama H and Ueda T and Yamaguchi K and Kishida T and Shiroki R and Saika T and Shinohara N and Oya M and Kanayama HO,https://pubmed.ncbi.nlm.nih.gov/32466961/,32466961
103,Exclusion,Publication,,,,,,,,,,,,,,,,,,,,,,,,,,Dynamics in treatment response and disease progression of metastatic colorectal cancer (mCRC) patients with focus on BRAF status and primary tumor location: analysis of untreated RAS-wild-type mCRC patients receiving FOLFOXIRI either with or without panitumumab in the VOLFI trial (AIO KRK0109).,Journal of cancer research and clinical oncology,4.55,2020,Kurreck A and Geissler M and Martens UM and Riera-Knorrenschild J and Greeve J and Florschｾｽｼtz A and Wessendorf S and Ettrich T and Kanzler S and Nｾｽｶrenberg D and Seidensticker M and Held S and Buechner-Steudel P and Atzpodien J and Heinemann V and Stintzing S and Seufferlein T and Tannapfel A and Reinacher-Schick AC and Modest DP,https://pubmed.ncbi.nlm.nih.gov/32449003/,32449003
105,Inclusion,,Phase 3,NCT03099382,ESCORT,Esophageal Cancer,OS,No,No PFS,Unclear,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,No ORR,Unclear,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,Only non-blinded,Only non-blinded,"Camrelizumab versus investigator's choice of chemotherapy as second-line therapy for advanced or metastatic oesophageal squamous cell carcinoma (ESCORT): a multicentre, randomised, open-label, phase 3 study.",The Lancet. Oncology,41.32,2020,Huang J and Xu J and Chen Y and Zhuang W and Zhang Y and Chen Z and Chen J and Zhang H and Niu Z and Fan Q and Lin L and Gu K and Liu Y and Ba Y and Miao Z and Jiang X and Zeng M and Chen J and Fu Z and Gan L and Wang J and Zhan X and Liu T and Li Z and Shen L and Shu Y and Zhang T and Yang Q and Zou J,https://pubmed.ncbi.nlm.nih.gov/32416073/,32416073
107,Inclusion,,Phase 2,NCT01642186,No name,Liver cancer,PFS,Yes,Only investigator,No protocol,Only investigator,Unclear,Central or local in advance but unclear in paper,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,"A Multicenter Randomized Three-Arm Phase II Study of (1) Everolimus, (2) Estrogen Deprivation Therapy (EDT) with Leuprolide + Letrozole, and (3) Everolimus + EDT in Patients with Unresectable Fibrolamellar Carcinoma.",The oncologist,5.03,2020,El Dika I and Mayer RJ and Venook AP and Capanu M and LaQuaglia MP and Kobos R and O'Neill AF and Chou JF and Ly M and Ang C and O'Reilly EM and Gordan JD and Abou-Alfa GK,https://pubmed.ncbi.nlm.nih.gov/32400000/,32400000
109,Inclusion,,Unclear,Not available,No name,Non-small cell lung cancer,Unclear,Unclear,No registry,No protocol,Not available,Unclear,Not prespecified,,,"Probably, only non-blinded",Unclear,No registry,No protocol,Not available,Unclear,Not prespecified,,,"Probably, only non-blinded",,,Analysis of Clinical Efficacy of Nano-Albumin Paclitaxel Treatment for Advanced Cell Lung Cancer.,Journal of nanoscience and nanotechnology,1.13,2020,Li X and Zhang Y and Zhi X and Li Y and Qian K,https://pubmed.ncbi.nlm.nih.gov/32384947/,32384947
110,Inclusion,,Phase 2,NCT02870920,The Canadian Cancer Trials Group CO.26 Study,Colorectal cancer,OS,No,Unclear,Only investigator,Only investigator,Unclear,Central or local in advance but unclear in paper,,,"Probably, only non-blinded",No,Unclear,Only investigator,Only investigator,Unclear,Central or local in advance but unclear in paper,,,"Probably, only non-blinded",,,Effect of Combined Immune Checkpoint Inhibition vs Best Supportive Care Alone in Patients With Advanced Colorectal Cancer: The Canadian Cancer Trials Group CO.26 Study.,JAMA oncology,31.78,2020,Chen EX and Jonker DJ and Loree JM and Kennecke HF and Berry SR and Couture F and Ahmad CE and Goffin JR and Kavan P and Harb M and Colwell B and Samimi S and Samson B and Abbas T and Aucoin N and Aubin F and Koski SL and Wei AC and Magoski NM and Tu D and O'Callaghan CJ,https://pubmed.ncbi.nlm.nih.gov/32379280/,32379280
113,Inclusion,,Phase 2,NCT01256385,MAESTRO,Head and Neck Cancer,PFS,Yes,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,"A randomized phase 2 study of temsirolimus and cetuximab versus temsirolimus alone in recurrent/metastatic, cetuximab-resistant head and neck cancer: The MAESTRO study.",Cancer,6.86,2020,Seiwert TY and Kochanny S and Wood K and Worden FP and Adkins D and Wade JL and Sleckman BG and Anderson D and Brisson RJ and Karrison T and Stadler WM and Vokes EE,https://pubmed.ncbi.nlm.nih.gov/32365226/,32365226
121,Inclusion,,Phase 3,NCT02369874,EAGLE,Head and Neck Cancer,OS,No,Only investigator,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,No,Only investigator,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,"Durvalumab with or without tremelimumab in patients with recurrent or metastatic head and neck squamous cell carcinoma: EAGLE, a randomized, open-label phase III study.",Annals of oncology : official journal of the European Society for Medical Oncology,32.98,2020,Ferris RL and Haddad R and Even C and Tahara M and Dvorkin M and Ciuleanu TE and Clement PM and Mesia R and Kutukova S and Zholudeva L and Daste A and Caballero-Daroqui J and Keam B and Vynnychenko I and Lafond C and Shetty J and Mann H and Fan J and Wildsmith S and Morsli N and Fayette J and Licitra L,https://pubmed.ncbi.nlm.nih.gov/32294530/,32294530
122,Inclusion,,Phase 3,NCT01763671,IFCT-1103 ULTIMATE,Non-small cell lung cancer,PFS,Yes,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",Only non-blinded,Only non-blinded,Weekly paclitaxel plus bevacizumab versus docetaxel as second- or third-line treatment in advanced non-squamous non-small-cell lung cancer: Results of the IFCT-1103 ULTIMATE study.,"European journal of cancer (Oxford, England : 1990)",9.16,2020,Cortot AB and Audigier-Valette C and Molinier O and Le Moulec S and Barlesi F and Zalcman G and Dumont P and Pouessel D and Poulet C and Fontaine-Delaruelle C and Hiret S and Dixmier A and Renault PA and Becht C and Raffy O and Dayen C and Mazieres J and Pichon E and Langlais A and Morin F and Moro-Sibilot D and Besse B,https://pubmed.ncbi.nlm.nih.gov/32276179/,32276179
124,Inclusion,,Phase 3,NCT02453282,MYSTIC ,Non-small cell lung cancer,OS and PFS,Yes,Only central,Only central,Only central,Only central,Consistent,,,Only blinded,No,Only central,Only central,Only central,Only central,Consistent,,,Only blinded,,,Durvalumab With or Without Tremelimumab vs Standard Chemotherapy in First-line Treatment of Metastatic Non-Small Cell Lung Cancer: The MYSTIC Phase 3 Randomized Clinical Trial.,JAMA oncology,31.78,2020,Rizvi NA and Cho BC and Reinmuth N and Lee KH and Luft A and Ahn MJ and van den Heuvel MM and Cobo M and Vicente D and Smolin A and Moiseyenko V and Antonia SJ and Le Moulec S and Robinet G and Natale R and Schneider J and Shepherd FA and Geater SL and Garon EB and Kim ES and Goldberg SB and Nakagawa K and Raja R and Higgs BW and Boothman AM and Zhao L and Scheuring U and Stockman PK and Chand VK and Peters S,https://pubmed.ncbi.nlm.nih.gov/32271377/,32271377
129,Exclusion,Study design,,,,,,,,,,,,,,,,,,,,,,,,,,"The Efficacy and Safety of Modified Docetaxel, Cisplatin, and 5-Fluorouracil Vs. Epirubicin, Oxaliplatin, and Capecitabine Regimen in the Advanced Gastric Cancer: A Randomized Controlled Clinical Trial.",Asian Pacific journal of cancer prevention : APJCP,1.58,2020,Ahmadzadeh A and Seyedian SS and Valizadeh A and Soleimani M and Nazari P and Hamidi H,https://pubmed.ncbi.nlm.nih.gov/32212800/,32212800
130,Inclusion,,Phase 2,UMIN000009297,WJOG7112G (T-ACT Study),Gastric and Gastroesophageal Junction Adenocarcinoma,PFS,Yes,Unclear,Unclear,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,Unclear,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,"Randomized, Phase II Study of Trastuzumab Beyond Progression in Patients With HER2-Positive Advanced Gastric or Gastroesophageal Junction Cancer: WJOG7112G (T-ACT Study).",Journal of clinical oncology : official journal of the American Society of Clinical           Oncology,44.54,2020,Makiyama A and Sukawa Y and Kashiwada T and Kawada J and Hosokawa A and Horie Y and Tsuji A and Moriwaki T and Tanioka H and Shinozaki K and Uchino K and Yasui H and Tsukuda H and Nishikawa K and Ishida H and Yamanaka T and Yamazaki K and Hironaka S and Esaki T and Boku N and Hyodo I and Muro K,https://pubmed.ncbi.nlm.nih.gov/32208960/,32208960
132,Exclusion,Study design,,,,,,,,,,,,,,,,,,,,,,,,,,"Bintrafusp Alfa, a Bifunctional Fusion Protein Targeting TGF-ｾ趣ｽｲ and PD-L1, in Second-Line Treatment of Patients With NSCLC: Results From an Expansion Cohort of a Phase 1 Trial.",Journal of thoracic oncology : official publication of the International Association           for the Study of Lung Cancer,15.61,2020,Paz-Ares L and Kim TM and Vicente D and Felip E and Lee DH and Lee KH and Lin CC and Flor MJ and Di Nicola M and Alvarez RM and Dussault I and Helwig C and Ojalvo LS and Gulley JL and Cho BC,https://pubmed.ncbi.nlm.nih.gov/32173464/,32173464
